"","country","year","Energy Supply per capita"
"481","Falkland Is. (Malvinas)","2006","263"
"482","Falkland Is. (Malvinas)","2010","260"
"483","Falkland Is. (Malvinas)","2014","192"
"484","Fiji","1990","31"
"485","Fiji","1994","32"
"486","Fiji","1998","23"
"487","Fiji","2002","27"
"488","Fiji","2006","31"
"489","Fiji","2010","25"
"490","Fiji","2014","33"
"491","Finland","1990","238"
"492","Finland","1994","250"
"493","Finland","1998","264"
"494","Finland","2002","281"
"495","Finland","2006","297"
"496","Finland","2010","285"
"497","Finland","2014","260"
"498","France","1990","165"
"499","France","1994","165"
"500","France","1998","179"
"501","France","2002","183"
"502","France","2006","182"
"503","France","2010","174"
"504","France","2014","155"
"505","French Polynesia","1990","34"
"506","French Polynesia","1994","33"
"507","French Polynesia","1998","32"
"508","French Polynesia","2002","42"
"509","French Polynesia","2006","46"
"510","French Polynesia","2010","46"
"511","French Polynesia","2014","40"
"512","Gabon","1990","54"
"513","Gabon","1994","49"
"514","Gabon","1998","54"
"515","Gabon","2002","52"
"516","Gabon","2006","54"
"517","Gabon","2010","57"
"518","Gabon","2014","60"
"519","Gambia","1990","7"
"520","Gambia","1994","7"
"521","Gambia","1998","7"
"522","Gambia","2002","7"
"523","Gambia","2006","7"
"524","Gambia","2010","7"
"525","Gambia","2014","7"
"526","Georgia","1990","..."
"527","Georgia","1994","27"
"528","Georgia","1998","26"
"529","Georgia","2002","23"
"530","Georgia","2006","31"
"531","Georgia","2010","33"
"532","Georgia","2014","47"
"533","Germany","1990","..."
"534","Germany","1994","171"
"535","Germany","1998","174"
"536","Germany","2002","172"
"537","Germany","2006","175"
"538","Germany","2010","169"
"539","Germany","2014","157"
"540","Ghana","1990","13"
"541","Ghana","1994","17"
"542","Ghana","1998","16"
"543","Ghana","2002","15"
"544","Ghana","2006","12"
"545","Ghana","2010","11"
"546","Ghana","2014","12"
"547","Gibraltar","1990","90"
"548","Gibraltar","1994","166"
"549","Gibraltar","1998","182"
"550","Gibraltar","2002","200"
"551","Gibraltar","2006","227"
"552","Gibraltar","2010","220"
"553","Gibraltar","2014","242"
"554","Greece","1990","88"
"555","Greece","1994","89"
"556","Greece","1998","98"
"557","Greece","2002","107"
"558","Greece","2006","113"
"559","Greece","2010","101"
"560","Greece","2014","85"
"561","Greenland","1990","90"
"562","Greenland","1994","88"
"563","Greenland","1998","104"
"564","Greenland","2002","108"
"565","Greenland","2006","168"
"566","Greenland","2010","186"
"567","Greenland","2014","152"
"568","Grenada","1990","17"
"569","Grenada","1994","21"
"570","Grenada","1998","27"
"571","Grenada","2002","31"
"572","Grenada","2006","34"
"573","Grenada","2010","38"
"574","Grenada","2014","35"
"575","Guatemala","1990","22"
"576","Guatemala","1994","25"
"577","Guatemala","1998","27"
"578","Guatemala","2002","27"
"579","Guatemala","2006","26"
"580","Guatemala","2010","27"
"581","Guatemala","2014","28"
"582","Guernsey","1990","..."
"583","Guernsey","1994","..."
"584","Guernsey","1998","..."
"585","Guernsey","2002","15"
"586","Guernsey","2006","16"
"587","Guernsey","2010","14"
"588","Guernsey","2014","9"
"589","Guinea","1990","18"
"590","Guinea","1994","12"
"591","Guinea","1998","12"
"592","Guinea","2002","15"
"593","Guinea","2006","15"
"594","Guinea","2010","14"
"595","Guinea","2014","12"
"596","Guinea-Bissau","1990","20"
"597","Guinea-Bissau","1994","19"
"598","Guinea-Bissau","1998","19"
"599","Guinea-Bissau","2002","19"
"600","Guinea-Bissau","2006","19"
"601","Guinea-Bissau","2010","18"
"602","Guinea-Bissau","2014","17"
"603","Guyana","1990","39"
"604","Guyana","1994","41"
"605","Guyana","1998","48"
"606","Guyana","2002","47"
"607","Guyana","2006","41"
"608","Guyana","2010","46"
"609","Guyana","2014","45"
"610","Haiti","1990","14"
"611","Haiti","1994","12"
"612","Haiti","1998","14"
"613","Haiti","2002","15"
"614","Haiti","2006","15"
"615","Haiti","2010","16"
"616","Haiti","2014","16"
"617","Honduras","1990","20"
"618","Honduras","1994","21"
"619","Honduras","1998","24"
"620","Honduras","2002","22"
"621","Honduras","2006","24"
"622","Honduras","2010","24"
"623","Honduras","2014","26"
"624","Hungary","1990","116"
"625","Hungary","1994","101"
"626","Hungary","1998","105"
"627","Hungary","2002","105"
"628","Hungary","2006","114"
"629","Hungary","2010","112"
"630","Hungary","2014","101"
"631","Iceland","1990","341"
"632","Iceland","1994","335"
"633","Iceland","1998","393"
"634","Iceland","2002","514"
"635","Iceland","2006","651"
"636","Iceland","2010","869"
"637","Iceland","2014","946"
"638","India","1990","15"
"639","India","1994","16"
"640","India","1998","18"
"641","India","2002","19"
"642","India","2006","20"
"643","India","2010","24"
"644","India","2014","27"
"645","Indonesia","1990","20"
"646","Indonesia","1994","23"
"647","Indonesia","1998","21"
"648","Indonesia","2002","30"
"649","Indonesia","2006","31"
"650","Indonesia","2010","34"
"651","Indonesia","2014","34"
"652","Iran","1990","51"
"653","Iran","1994","64"
"654","Iran","1998","71"
"655","Iran","2002","88"
"656","Iran","2006","111"
"657","Iran","2010","115"
"658","Iran","2014","127"
"659","Iraq","1990","34"
"660","Iraq","1994","53"
"661","Iraq","1998","46"
"662","Iraq","2002","47"
"663","Iraq","2006","45"
"664","Iraq","2010","47"
"665","Iraq","2014","59"
"666","Ireland","1990","118"
"667","Ireland","1994","124"
"668","Ireland","1998","144"
"669","Ireland","2002","154"
"670","Ireland","2006","147"
"671","Ireland","2010","132"
"672","Ireland","2014","114"
"673","Isle of Man","1990","..."
"674","Isle of Man","1994","..."
"675","Isle of Man","1998","..."
"676","Isle of Man","2002","30"
"677","Isle of Man","2006","46"
"678","Isle of Man","2010","50"
"679","Isle of Man","2014","53"
"680","Israel","1990","107"
"681","Israel","1994","120"
"682","Israel","1998","126"
"683","Israel","2002","126"
"684","Israel","2006","126"
"685","Israel","2010","131"
"686","Israel","2014","114"
"687","Italy","1990","112"
"688","Italy","1994","112"
"689","Italy","1998","123"
"690","Italy","2002","127"
"691","Italy","2006","132"
"692","Italy","2010","123"
"693","Italy","2014","103"
"694","Jamaica","1990","48"
"695","Jamaica","1994","48"
"696","Jamaica","1998","55"
"697","Jamaica","2002","58"
"698","Jamaica","2006","63"
"699","Jamaica","2010","39"
"700","Jamaica","2014","38"
"701","Japan","1990","150"
"702","Japan","1994","163"
"703","Japan","1998","168"
"704","Japan","2002","170"
"705","Japan","2006","173"
"706","Japan","2010","163"
"707","Japan","2014","144"
"708","Jersey","1990","..."
"709","Jersey","1994","9"
"710","Jersey","1998","14"
"711","Jersey","2002","25"
"712","Jersey","2006","30"
"713","Jersey","2010","28"
"714","Jersey","2014","27"
"715","Jordan","1990","40"
"716","Jordan","1994","40"
"717","Jordan","1998","41"
"718","Jordan","2002","44"
"719","Jordan","2006","54"
"720","Jordan","2010","42"
"721","Jordan","2014","40"
"722","Kazakhstan","1990","..."
"723","Kazakhstan","1994","158"
"724","Kazakhstan","1998","108"
"725","Kazakhstan","2002","118"
"726","Kazakhstan","2006","166"
"727","Kazakhstan","2010","205"
"728","Kazakhstan","2014","171"
"729","Kenya","1990","19"
"730","Kenya","1994","19"
"731","Kenya","1998","20"
"732","Kenya","2002","19"
"733","Kenya","2006","19"
"734","Kenya","2010","19"
"735","Kenya","2014","20"
"736","Kiribati","1990","11"
"737","Kiribati","1994","11"
"738","Kiribati","1998","11"
"739","Kiribati","2002","12"
"740","Kiribati","2006","15"
"741","Kiribati","2010","13"
"742","Kiribati","2014","12"
"743","Democratic People's Republic of Korea","1990","69"
"744","Democratic People's Republic of Korea","1994","45"
"745","Democratic People's Republic of Korea","1998","32"
"746","Democratic People's Republic of Korea","2002","35"
"747","Democratic People's Republic of Korea","2006","38"
"748","Democratic People's Republic of Korea","2010","25"
"749","Democratic People's Republic of Korea","2014","16"
"750","""Korea, South""","1990","90"
"751","""Korea, South""","1994","126"
"752","""Korea, South""","1998","145"
"753","""Korea, South""","2002","179"
"754","""Korea, South""","2006","190"
"755","""Korea, South""","2010","212"
"756","""Korea, South""","2014","223"
"757","Kosovo","1990","..."
"758","Kosovo","1994","..."
"759","Kosovo","1998","..."
"760","Kosovo","2002","47"
"761","Kosovo","2006","48"
"762","Kosovo","2010","59"
"763","Kosovo","2014","51"
"764","Kuwait","1990","271"
"765","Kuwait","1994","488"
"766","Kuwait","1998","447"
"767","Kuwait","2002","427"
"768","Kuwait","2006","475"
"769","Kuwait","2010","450"
"770","Kuwait","2014","356"
"771","Kyrgyzstan","1990","..."
"772","Kyrgyzstan","1994","25"
"773","Kyrgyzstan","1998","24"
"774","Kyrgyzstan","2002","21"
"775","Kyrgyzstan","2006","23"
"776","Kyrgyzstan","2010","21"
"777","Kyrgyzstan","2014","30"
"778","Laos","1990","14"
"779","Laos","1994","13"
"780","Laos","1998","13"
"781","Laos","2002","11"
"782","Laos","2006","13"
"783","Laos","2010","16"
"784","Laos","2014","18"
"785","Latvia","1990","..."
"786","Latvia","1994","79"
"787","Latvia","1998","75"
"788","Latvia","2002","73"
"789","Latvia","2006","86"
"790","Latvia","2010","89"
"791","Latvia","2014","90"
"792","Lebanon","1990","38"
"793","Lebanon","1994","48"
"794","Lebanon","1998","61"
"795","Lebanon","2002","56"
"796","Lebanon","2006","47"
"797","Lebanon","2010","53"
"798","Lebanon","2014","49"
"799","Lesotho","1990","22"
"800","Lesotho","1994","23"
"801","Lesotho","1998","23"
"802","Lesotho","2002","24"
"803","Lesotho","2006","23"
"804","Lesotho","2010","25"
"805","Lesotho","2014","23"
"806","Liberia","1990","18"
"807","Liberia","1994","15"
"808","Liberia","1998","16"
"809","Liberia","2002","18"
"810","Liberia","2006","19"
"811","Liberia","2010","19"
"812","Liberia","2014","20"
"813","Libya","1990","108"
"814","Libya","1994","132"
"815","Libya","1998","132"
"816","Libya","2002","129"
"817","Libya","2006","123"
"818","Libya","2010","139"
"819","Libya","2014","119"
"820","Liechtenstein","1990","45"
"821","Liechtenstein","1994","52"
"822","Liechtenstein","1998","62"
"823","Liechtenstein","2002","68"
"824","Liechtenstein","2006","79"
"825","Liechtenstein","2010","92"
"826","Liechtenstein","2014","86"
"827","Lithuania","1990","..."
"828","Lithuania","1994","93"
"829","Lithuania","1998","109"
"830","Lithuania","2002","105"
"831","Lithuania","2006","105"
"832","Lithuania","2010","94"
"833","Lithuania","2014","98"
"834","Luxembourg","1990","376"
"835","Luxembourg","1994","376"
"836","Luxembourg","1998","299"
"837","Luxembourg","2002","349"
"838","Luxembourg","2006","393"
"839","Luxembourg","2010","352"
"840","Luxembourg","2014","291"
"841","Madagascar","1990","9"
"842","Madagascar","1994","9"
"843","Madagascar","1998","10"
"844","Madagascar","2002","9"
"845","Madagascar","2006","9"
"846","Madagascar","2010","9"
"847","Madagascar","2014","10"
"848","Malawi","1990","7"
"849","Malawi","1994","7"
"850","Malawi","1998","6"
"851","Malawi","2002","6"
"852","Malawi","2006","5"
"853","Malawi","2010","5"
"854","Malawi","2014","5"
"855","Malaysia","1990","42"
"856","Malaysia","1994","64"
"857","Malaysia","1998","75"
"858","Malaysia","2002","88"
"859","Malaysia","2006","103"
"860","Malaysia","2010","105"
"861","Malaysia","2014","117"
"862","Maldives","1990","11"
"863","Maldives","1994","12"
"864","Maldives","1998","16"
"865","Maldives","2002","30"
"866","Maldives","2006","37"
"867","Maldives","2010","37"
"868","Maldives","2014","43"
"869","Mali","1990","5"
"870","Mali","1994","5"
"871","Mali","1998","5"
"872","Mali","2002","5"
"873","Mali","2006","5"
"874","Mali","2010","5"
"875","Mali","2014","5"
"876","Malta","1990","79"
"877","Malta","1994","84"
"878","Malta","1998","74"
"879","Malta","2002","77"
"880","Malta","2006","86"
"881","Malta","2010","85"
"882","Malta","2014","77"
"883","Marshall Islands","1990","..."
"884","Marshall Islands","1994","27"
"885","Marshall Islands","1998","28"
"886","Marshall Islands","2002","34"
"887","Marshall Islands","2006","37"
"888","Marshall Islands","2010","41"
"889","Marshall Islands","2014","41"
"890","Martinique","1990","..."
"891","Martinique","1994","..."
"892","Martinique","1998","..."
"893","Martinique","2002","..."
"894","Martinique","2006","..."
"895","Martinique","2010","..."
"896","Martinique","2014","..."
"897","Mauritania","1990","11"
"898","Mauritania","1994","11"
"899","Mauritania","1998","11"
"900","Mauritania","2002","11"
"901","Mauritania","2006","11"
"902","Mauritania","2010","12"
"903","Mauritania","2014","13"
"904","Mauritius","1990","31"
"905","Mauritius","1994","33"
"906","Mauritius","1998","38"
"907","Mauritius","2002","42"
"908","Mauritius","2006","47"
"909","Mauritius","2010","50"
"910","Mauritius","2014","52"
"911","Mayotte","1990","..."
"912","Mayotte","1994","..."
"913","Mayotte","1998","..."
"914","Mayotte","2002","..."
"915","Mayotte","2006","..."
"916","Mayotte","2010","..."
"917","Mayotte","2014","..."
"918","Mexico","1990","61"
"919","Mexico","1994","63"
"920","Mexico","1998","63"
"921","Mexico","2002","64"
"922","Mexico","2006","71"
"923","Mexico","2010","64"
"924","Mexico","2014","64"
"925","Micronesia (Fed. States of)","1990","..."
