Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
China,156,Asia,Eastern Asia,2.14E+10,3.00E+10,3.36E+10,1.50E+10,8.56E+08,9.60E+08,1.48E+10,2.14E+08,2.40E+08,,,,
"China, Hong Kong SAR",344,Asia,Eastern Asia,1.31E+07,1.81E+07,2.18E+07,1.31E+07,1.81E+07,2.18E+07,3.48E+06,2.40E+06,2.89E+06,,,,
"China, Macao SAR",446,Asia,Eastern Asia,2.28E+07,3.66E+07,4.98E+07,2.23E+07,9.26E+05,1.26E+06,2.21E+07,2.46E+05,3.36E+05,,,,
Colombia,170,Latin America and Caribbean,South America,2.33E+08,3.51E+08,4.31E+08,9.81E+07,3.94E+07,4.84E+07,7.36E+07,7.56E+06,9.31E+06,,,,
Comoros,174,Africa,Eastern Africa,7.16E+07,1.07E+08,1.46E+08,7.12E+07,1.01E+08,1.27E+08,6.45E+07,4.57E+07,5.72E+07,,,,
Congo,178,Africa,Middle Africa,8.06E+07,1.76E+08,3.24E+08,7.78E+07,1.20E+08,9.78E+07,7.06E+07,5.43E+07,4.34E+07,,,,
Costa Rica,188,Latin America and Caribbean,Central America,1.13E+07,1.61E+07,1.94E+07,6.59E+06,9.86E+05,1.19E+06,6.47E+06,4.93E+05,5.96E+05,,,,
Côte d'Ivoire,384,Africa,Western Africa,3.91E+08,7.94E+08,1.41E+09,3.73E+08,6.25E+08,8.03E+08,3.38E+08,2.83E+08,3.61E+08,,,,
Croatia,191,Europe,Southern Europe,5.11E+07,5.74E+07,5.93E+07,1.86E+07,4.22E+06,4.36E+06,1.50E+07,8.78E+05,9.09E+05,,,,
Cyprus,196,Asia,Western Asia,1.20E+07,1.57E+07,1.87E+07,1.88E+06,2.46E+06,2.92E+06,7.17E+05,4.68E+05,5.56E+05,,,,
Czech Republic,203,Europe,Eastern Europe,6.98E+06,8.44E+06,9.24E+06,6.98E+06,8.44E+06,9.24E+06,3.20E+06,1.94E+06,2.12E+06,,,,
Democratic Republic of the Congo,180,Africa,Middle Africa,1.66E+09,3.27E+09,5.53E+09,1.65E+09,3.16E+09,5.13E+09,1.48E+09,1.42E+09,2.30E+09,,,,
Denmark,208,Europe,Northern Europe,8.34E+05,9.64E+05,1.09E+06,8.34E+05,9.64E+05,1.09E+06,4.17E+05,4.82E+05,5.46E+05,,,,
Djibouti,262,Africa,Eastern Africa,1.28E+07,1.94E+07,2.49E+07,1.23E+07,1.59E+07,1.55E+07,9.36E+06,6.68E+06,7.37E+06,,,,
Dominica,212,Latin America and Caribbean,Caribbean,1.38E+06,1.69E+06,1.84E+06,1.21E+06,4.06E+05,5.40E+04,1.09E+06,1.79E+05,1.24E+04,,,,
Dominican Republic,214,Latin America and Caribbean,Caribbean,2.90E+08,4.10E+08,4.98E+08,2.23E+08,1.24E+07,1.51E+07,1.84E+08,2.59E+06,3.14E+06,,,,
Ecuador,218,Latin America and Caribbean,South America,1.12E+08,1.79E+08,2.42E+08,1.15E+08,9.63E+07,7.16E+06,1.14E+08,9.45E+07,3.58E+06,,,,
Egypt,818,Africa,Northern Africa,1.94E+09,3.44E+09,5.16E+09,1.72E+09,1.10E+09,1.24E+08,1.31E+09,4.10E+08,2.38E+07,,,,
El Salvador,222,Latin America and Caribbean,Central America,3.21E+07,4.03E+07,4.47E+07,2.32E+07,3.82E+06,4.24E+06,2.29E+07,1.20E+06,1.32E+06,,,,
Equatorial Guinea,226,Africa,Middle Africa,6.50E+05,1.27E+06,2.10E+06,1.03E+07,1.27E+06,2.10E+06,9.15E+06,2.92E+05,4.83E+05,,,,
Eritrea,232,Africa,Eastern Africa,9.81E+07,1.75E+08,2.66E+08,9.76E+07,1.66E+08,2.37E+08,8.78E+07,7.45E+07,1.06E+08,,,,
Estonia,233,Europe,Northern Europe,3.33E+06,3.89E+06,4.15E+06,1.33E+06,1.56E+06,1.66E+06,3.58E+05,2.09E+05,2.23E+05,,,,
Ethiopia,231,Africa,Eastern Africa,1.22E+09,2.50E+09,3.98E+09,1.18E+09,2.21E+09,3.06E+09,1.07E+09,1.00E+09,1.38E+09,,,,
Fiji,242,Oceania,Melanesia,4.88E+06,8.14E+06,1.04E+07,4.36E+06,3.23E+06,2.78E+05,4.31E+06,2.00E+06,8.77E+04,,,,
