Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
Sierra Leone,694,Africa,Western Africa,1.14E+08,1.99E+08,2.91E+08,1.12E+08,1.81E+08,2.38E+08,1.01E+08,8.20E+07,1.08E+08,,,,
Singapore,702,Asia,South-Eastern Asia,5.64E+06,8.22E+06,9.88E+06,5.64E+06,8.22E+06,9.88E+06,2.66E+06,1.94E+06,2.33E+06,,,,
Slovakia,703,Europe,Eastern Europe,7.98E+06,9.10E+06,9.17E+06,2.28E+06,2.60E+06,2.62E+06,1.14E+06,9.30E+05,9.35E+05,,,,
Slovenia,705,Europe,Southern Europe,1.18E+07,1.31E+07,1.38E+07,1.68E+06,1.88E+06,1.97E+06,7.71E+05,4.31E+05,4.51E+05,,,,
Solomon Islands,90,Oceania,Melanesia,4.58E+06,7.96E+06,1.18E+07,4.54E+06,7.32E+06,9.75E+06,4.13E+06,3.32E+06,4.42E+06,,,,
South Africa,710,Africa,Southern Africa,8.09E+08,1.19E+09,1.45E+09,7.61E+08,2.66E+08,4.62E+07,6.90E+08,1.17E+08,1.06E+07,,,,
South Sudan,728,Africa,Eastern Africa,2.05E+08,3.93E+08,6.45E+08,2.08E+08,3.87E+08,6.00E+08,1.89E+08,1.76E+08,2.73E+08,,,,
Spain,724,Europe,Southern Europe,4.44E+07,4.86E+07,5.02E+07,4.44E+07,4.86E+07,5.02E+07,1.86E+07,1.02E+07,1.05E+07,,,,
Sri Lanka,144,Asia,Southern Asia,2.14E+08,2.99E+08,3.44E+08,1.86E+08,1.09E+08,7.24E+06,1.84E+08,8.99E+07,3.07E+06,,,,
State of Palestine,275,Asia,Western Asia,9.50E+07,1.47E+08,2.01E+08,9.50E+07,1.47E+08,2.01E+08,3.34E+07,4.31E+07,7.34E+07,,,,
Sudan,736,Africa,Eastern Africa,9.37E+08,1.76E+09,2.78E+09,9.18E+08,1.42E+09,1.62E+09,7.14E+08,5.52E+08,6.27E+08,,,,
Suriname,740,Latin America and Caribbean,South America,2.48E+07,3.12E+07,3.48E+07,2.41E+07,1.36E+07,6.96E+05,2.19E+07,6.07E+06,1.59E+05,,,,
Swaziland,748,Africa,Southern Africa,1.73E+07,2.91E+07,4.27E+07,1.67E+07,1.57E+07,1.16E+06,1.52E+07,7.06E+06,2.67E+05,,,,
Sweden,752,Europe,Northern Europe,9.50E+06,1.21E+07,1.45E+07,9.50E+06,1.21E+07,1.45E+07,4.36E+06,2.77E+06,3.32E+06,,,,
Switzerland,756,Europe,Western Europe,1.68E+07,2.02E+07,2.32E+07,1.68E+07,2.02E+07,2.32E+07,5.59E+06,3.37E+06,3.86E+06,,,,
Taiwan,901,Asia,Eastern Asia,1.41E+07,1.86E+07,1.92E+07,1.41E+07,1.86E+07,1.92E+07,6.47E+06,4.28E+06,4.41E+06,,,,
Tajikistan,762,Asia,Central Asia,3.01E+08,4.64E+08,6.34E+08,2.93E+08,3.92E+08,4.32E+08,2.66E+08,1.78E+08,1.95E+08,,,,
TFYR Macedonia,807,Europe,Southern Europe,4.85E+07,5.72E+07,6.03E+07,3.77E+07,1.95E+06,2.06E+06,3.42E+07,4.48E+05,4.74E+05,,,,
Thailand,764,Asia,South-Eastern Asia,1.94E+09,2.32E+09,2.36E+09,1.48E+09,7.72E+07,7.88E+07,9.74E+08,1.29E+07,1.31E+07,,,,
Timor-Leste,626,Asia,South-Eastern Asia,1.63E+07,2.82E+07,4.43E+07,1.71E+07,2.69E+07,3.62E+07,1.55E+07,1.22E+07,1.64E+07,,,,
Togo,768,Africa,Western Africa,1.47E+08,2.76E+08,4.49E+08,1.45E+08,2.57E+08,3.85E+08,1.42E+08,1.26E+08,1.88E+08,,,,
Tonga,776,Oceania,Polynesia,8.63E+05,1.30E+06,1.72E+06,8.27E+05,9.56E+05,7.51E+05,7.51E+05,4.32E+05,3.36E+05,,,,
Trinidad and Tobago,780,Latin America and Caribbean,Caribbean,9.30E+07,1.04E+08,1.07E+08,7.76E+07,2.08E+06,2.14E+06,7.04E+07,4.79E+05,4.90E+05,,,,
Tunisia,788,Africa,Northern Africa,3.59E+08,5.18E+08,6.40E+08,3.29E+08,2.39E+08,1.28E+07,2.46E+08,8.85E+07,2.42E+06,,,,
Turkey,792,Asia,Western Asia,2.42E+09,3.24E+09,3.75E+09,1.89E+09,9.40E+07,1.09E+08,1.49E+09,1.88E+07,2.18E+07,,,,
Turkmenistan,795,Asia,Central Asia,1.06E+08,1.51E+08,1.79E+08,6.52E+07,6.06E+06,7.22E+06,5.89E+07,1.39E+06,1.66E+06,,,,
Tuvalu,798,Oceania,Polynesia,8.79E+02,1.23E+03,1.48E+03,8.56E+02,1.02E+03,9.58E+02,7.77E+02,4.63E+02,4.32E+02,,,,
Uganda,800,Africa,Eastern Africa,4.86E+07,1.16E+08,2.20E+08,4.78E+07,1.04E+08,1.74E+08,4.73E+07,1.04E+08,1.72E+08,,,,
Ukraine,804,Europe,Eastern Europe,4.69E+08,5.45E+08,5.73E+08,4.25E+08,2.59E+08,1.47E+07,4.20E+08,1.61E+08,4.64E+06,,,,
United Arab Emirates,784,Asia,Western Asia,1.16E+07,1.72E+07,2.22E+07,1.16E+07,1.72E+07,2.22E+07,5.32E+06,3.94E+06,5.08E+06,,,,
United Kingdom,826,Europe,Northern Europe,6.50E+07,8.06E+07,9.32E+07,6.50E+07,8.06E+07,9.32E+07,2.50E+07,1.55E+07,1.79E+07,,,,
United Republic of Tanzania,834,Africa,Eastern Africa,2.20E+09,4.31E+09,7.40E+09,2.11E+09,3.53E+09,4.71E+09,1.92E+09,1.60E+09,2.12E+09,,,,
United States of America,840,Northern America,Northern America,5.76E+08,6.94E+08,7.90E+08,5.76E+08,6.94E+08,7.90E+08,2.32E+08,1.40E+08,1.59E+08,,,,
Uruguay,858,Latin America and Caribbean,South America,1.21E+08,1.58E+08,1.86E+08,1.01E+08,3.66E+06,4.32E+06,9.20E+07,8.48E+05,9.98E+05,,,,
Uzbekistan,860,Asia,Central Asia,4.11E+08,6.63E+08,8.55E+08,3.75E+08,3.82E+08,1.22E+08,3.40E+08,1.72E+08,5.18E+07,,,,
Vanuatu,548,Oceania,Melanesia,3.18E+06,5.68E+06,8.65E+06,3.13E+06,5.04E+06,6.54E+06,2.84E+06,2.29E+06,2.96E+06,,,,
Venezuela (Bolivarian Republic of),862,Latin America and Caribbean,South America,6.31E+08,9.40E+08,1.22E+09,6.85E+08,5.63E+08,2.80E+07,6.79E+08,3.47E+08,8.74E+06,,,,
Viet Nam,704,Asia,South-Eastern Asia,1.48E+09,2.16E+09,2.68E+09,1.34E+09,1.22E+09,3.35E+08,1.32E+09,5.99E+08,1.54E+08,,,,
Yemen,887,Asia,Western Asia,3.56E+08,5.96E+08,8.23E+08,3.45E+08,4.85E+08,4.99E+08,3.41E+08,2.40E+08,2.45E+08,,,,
Zambia,894,Africa,Eastern Africa,3.16E+08,7.09E+08,1.37E+09,3.08E+08,5.79E+08,8.33E+08,2.80E+08,2.63E+08,3.75E+08,,,,
Zimbabwe,716,Africa,Eastern Africa,5.82E+08,1.02E+09,1.52E+09,5.83E+08,9.61E+08,1.31E+09,2.89E+08,2.37E+08,3.24E+08,,,,
